醫事機構名稱, 地址, 電話
林新醫療社團法人林新醫院, 臺中市南屯區惠中路3段36號, 04-22586688
劉俊欣耳鼻喉科診所, 臺中市神岡區神岡路88巷12號1樓, 04-25633797
隆安聯合診所, 臺中市新社區新社里興安路32號, 04-25821541
順智診所, 臺中市太平區太平路95號1樓, 04-22772766
國軍台中總醫院附設民眾診療服務處, 臺中市太平區中山路2段348號, 04-23934191
翔新診所, 臺中市十甲東路768～768-3號及東英十七街167-2號1樓, 04-22110707
康祐診所, 臺中市太平區中山路1段220號1樓, 04-23931234
禎宏診所, 臺中市太平區新興路22號1樓, 04-23959209
小朋友小兒科診所, 臺中市大甲區蔣公路二五五號, 04-26802025
自強診所, 臺中市大肚區遊園路二段206號, 04-26914188
林漢銀診所, 臺中市大里區立仁里立新街229號, 04-22779895
江志明內小兒科診所, 臺中市大里區東湖里中興路一段53號, 04-24930233
劉彥昇診所, 臺中市大里區健民路83之7號1樓, 04-24912812
台光診所, 臺中市大雅區民生路一段71號1樓, 04-25674548
青春診所, 臺中市大雅區神林南路197巷55之11號, 04-25653388
卓小兒科診所, 臺中市太平區中興路51－2號, 04-22769879
昆海診所, 臺中市北屯區中清路2段 268號1樓, 04-22925045
張廣智耳鼻喉科診所, 臺中市北屯區中清路二段531號1樓、533號1樓, 04-22924703
安安診所, 臺中市北屯區北屯路299－4號1樓, 04-22304309
文彥診所, 臺中市北屯區昌平路2段8－20號1樓, 04-22425892
寶健聯合門診寶健耳鼻喉科診所, 臺中市北屯區東山路1段216–23號, 04-24369053
芳鄰診所, 臺中市北屯區東山路一段240號一.二樓, 04-24371433
周學儉家庭醫學科診所, 臺中市北區育樂街12號, 04-22317294
秀慧診所, 臺中市北區忠太東路58－12號1樓及夾層, 04-22031830
家昌耳鼻喉科診所, 臺中市北區陜西路62號1樓, 04-22993888
台中家幼診所, 臺中市北區進化北路96號1樓, 04-22315588
佳優診所, 臺中市外埔區甲后路三段1042號1樓, 04-26832807
后里維恩耳鼻喉科診所, 臺中市后里區甲后路1段480號1樓, 04-25586608
后安診所, 臺中市后里區甲后路一段315號1樓, 04-25587800
后里診所, 臺中市后里區墩東村四村路76號, 04-25581125
漢諾威家庭醫學科診所, 臺中市西屯區何安里青海路一段112號1、2樓, 04-23173069
吉安診所, 臺中市西屯區青海路一段65之2號1樓, 04-23135698
鄭煒達診所, 臺中市西區公益路214號1樓及2樓, 04-23235136
超仁診所, 臺中市西區忠明南路373號1樓、2樓, 04-23769118
榮生診所, 臺中市東區合作里力行路80－5號, 04-23609300
梁外科診所, 臺中市東勢區北興里豐勢路611–1號, 04-25872053
東勢朱永泰診所, 臺中市東勢區延平里豐勢路172號, 04-25871700
幼安診所, 臺中市南屯區大墩路263號1、2樓, 04-24751579
寶貝熊小兒科診所, 臺中市南屯區公益路二段362．366號1樓, 04-22517622
董建宗小兒科診所, 臺中市南屯區溝墘里大墩路508號1樓, 04-23203873
林政益小兒科診所, 臺中市神岡區岸裡里中山路33號, 04-25152765
林炳麟診所, 臺中市神岡區神岡里神岡路24號, 04-25610165
林田診所, 臺中市潭子區合作街53號1樓, 04-25380218
佳佑診所, 臺中市潭子區勝利路319號1樓, 04-25336888
普霖小兒科診所, 臺中市潭子區福仁里復興路1段55號, 04-25391159
賴淵聖小兒科診所, 臺中市潭子區福潭路508號1樓, 04-25389096
人愛診所, 臺中市潭子區潭陽里潭興路二段394號, 04-25368299
潭興診所, 臺中市潭子區潭興路二段460號1樓, 04-25362225
同仁診所, 臺中市豐原區頂街里博愛街27號, 04-25222239
林內小兒科診所, 臺中市豐原區富春里中正路247號, 04-25238638
林秋能小兒科診所, 臺中市豐原區豐西里中山路437號, 04-25268575
陳炎山家庭醫學科診所, 臺中市霧峰區中正路1110號1樓, 04-23391100
祐生診所, 臺中市大里區東興里東明路231號, 04-24814981
陳台祝診所, 臺中市大雅區學府路171號, 04-25680299
徐長庚診所, 臺中市北屯區三光里北屯路212巷8號, 04-22313168
光恒診所, 臺中市北區五權路261號1樓, 04-22068638
林燄小兒科診所, 臺中市北區育德里健行路659號, 04-22050512
中國醫藥大學兒童醫院, 臺中市北區育德路1號、學士路95號、學士路2號, 04-22052121
蕭天讚小兒科診所, 臺中市后里區甲后路一段589號1樓, 04-25584352
賴永章小兒科診所, 臺中市西區大全街41號, 04-23714599
周家齊診所, 臺中市西區公正里向上路1段508號1–2樓, 04-23266611
中國醫藥大學附設醫院台中東區分院, 臺中市東區自由路3段296號, 04-22121058
華幼診所, 臺中市東區進化路211號1樓, 04-23600099
游振國小兒科診所, 臺中市潭子區甘蔗里雅潭路一段165號, 04-25321233
泰昌診所, 臺中市潭子區頭家里頭張路一段88號, 04-25329061
中國醫藥大學附設醫院豐原分院, 臺中市豐原區中正路199號, 04-25222538
豐壽診所, 臺中市豐原區西安里圓環南路156號, 04-25243947
長庚黃啟昌診所, 臺中市豐原區頂街里中正路289號, 04-25287928
蔣小兒科診所, 臺中市豐原區富春里中正路253號, 04-25222022
羅邦倚診所, 臺中市大里區中興路二段202－3號1樓, 04-24852000
楊鴻興診所, 臺中市大里區東湖里中興路一段109－7號, 04-24929969
蔡政益小兒科診所, 臺中市大里區新里里益民路2段169號, 04-24870721
仁愛醫療財團法人台中仁愛醫院, 臺中市中區柳岸里柳川東路三段36號, 04-22255450
瑞銘小兒科診所, 臺中市南區工學路140號1樓、142號1樓, 04-22652116
穎眾兒科診所, 臺中市南區東興路1段7號1樓, 04-22603549
陳鉉煒小兒科診所, 臺中市南區臺中路156號1樓.156之1號1樓, 04-22861566
正安家庭醫學科診所, 臺中市南區樹義里高工路91號, 04-22637502
小博仕診所, 臺中市大里區大明路302號, 04-24876666
陳建利診所, 臺中市大里區成功路385號1、2樓及387號1樓, 04-24935145
曙光小兒科診所, 臺中市西區五權西三街81號1樓, 04-23758822
薛凱中診所, 臺中市南屯區大墩路383號1樓, 04-24716898
臺中市東區衛生所, 臺中市東區信義街142號, 04-22834121
臺中市南區衛生所, 臺中市南區工學路72號2樓, 04-22629735
香光小兒科診所, 臺中市大里區內新里中興路二段392－1號, 04-24825105
德翔診所, 臺中市南區工學路46號1樓, 04-22639708
天仁小兒科診所, 臺中市霧峰區中正路967號1樓、969號1樓, 04-23336678
陳德義小兒科診所, 臺中市南區美村南路147號1樓, 04-22650913
新亞東婦產科醫院, 臺中市北區中清路1段403號、407號1樓, 04-22075779
明道小兒科診所, 臺中市南屯區田心里向心南路933號, 04-23845795
吳榮峰小兒科診所, 臺中市西區公益路252號, 04-23108006
臺中市和平區梨山衛生所, 臺中市和平區中正路12號1樓、68號1樓, 04-25989540
賴東昇小兒科診所, 臺中市南屯區大業路93號1樓, 04-23280188
佳鴻診所, 臺中市南屯區文心南2路229號1樓, 04-24739868
華生診所, 臺中市南屯區黎明路二段496號, 04-22556622
陳豐霖診所, 臺中市南區三民西路375號1樓, 04-23785338
白耳鼻喉科診所, 臺中市南區學府路152號1樓, 04-22220600
林新醫療社團法人烏日林新醫院, 臺中市烏日區榮和路168號, 04-23388766
陳祥雪小兒科診所, 臺中市大里區西榮里新生西路42號, 04-24850052
丁鴻志婦產科診所, 臺中市西區臺灣大道2段181號3樓, 04-23207082
施勝桓小兒科診所, 臺中市南屯區黎明路2段286號1-2樓, 04-22581985
鄭昭弘診所, 臺中市烏日區溪南路1段409號, 04-23352721
何孟哲診所, 臺中市潭子區甘蔗里勝利路273號, 04-25359173
祐強診所, 臺中市南區工學路128號1、2樓, 04-22617128
張家強診所, 臺中市南屯區三厝里黎明路二段490號一樓, 04-22591683
葉晉榮診所, 臺中市南屯區文山里忠勇路70–9號, 04-23869209
新菩提醫院, 臺中市大里區中興路2段621號, 04-24829966
茂盛醫院, 臺中市北屯區昌平路一段30－6號（1樓至4樓）, 04-22347057
新陽明診所, 臺中市北區五權路232號1、2、3、4樓, 04-22027000
阮春閔小兒科診所, 臺中市西區南屯路1段148號1Ｆ, 04-23757456
蔡忠廷診所, 臺中市南屯區田心里南屯路二段183號, 04-24723616
親子診所, 臺中市南屯區南屯里黎明路一段1091號, 04-23862626
台新醫院, 臺中市東區東信里振興路439－3號及441號, 04-22139966
辛隆士家庭醫學科診所, 臺中市西屯區東興路3段369號1、2樓, 04-23284798
育民診所, 臺中市東區臺中路73號1樓, 04-22290505
淵元兒科診所, 臺中市南區南屯路一段271號1樓, 04-23755460
恆宇診所, 臺中市南區國光路241號1樓, 04-22872877
沈宗憲診所, 臺中市大里區日新里中興路2段712號, 04-24837655
大里陳內小兒科診所, 臺中市大里區西榮里大里路19號, 04-24835484
顧耳鼻喉科診所, 臺中市大里區塗城路532號1樓, 04-24966988
長頸鹿小兒科診所, 臺中市東勢區豐勢路418號1、2、3樓及420號1、2樓, 04-25771809
施英富婦產科診所, 臺中市西區公正里東興路3段226．228．230號1．2樓, 04-23293176
盛鴻診所, 臺中市南區永興里美村南路199號1樓, 04-22603552
忠勇診所, 臺中市南屯區忠勇路67之3號1樓、2樓, 04-23826625
王欽耀診所, 臺中市南屯區春社里忠勇路43－2號1、2樓, 04-23832245
烏日澄清醫院, 臺中市烏日區前竹里光明路419號, 04-23376232
慶燿診所, 臺中市南區國光路241號1樓, 04-22872877
謝煌德小兒科診所, 臺中市霧峰區中正路988號1樓, 04-23314766
東勢區農會附設農民醫院, 臺中市東勢區南平里豐勢路297號, 04-25771919
臺安醫院, 臺中市東區進化路203號, 04-23602000
友仁醫院, 臺中市南屯區五權西路2段197號, 04-24739995
邢志宇耳鼻喉科診所, 臺中市南屯區南屯路二段252號1樓、2樓, 04-24735806
仁欣診所, 臺中市南屯區黎明東街229號1樓, 04-23803265
李啟澤診所, 臺中市南區永興里高工路258號1樓, 04-22621960
清泉醫院, 臺中市大雅區三和里雅潭路四段80號, 04-25605600
呂維國婦產科診所, 臺中市豐原區中正路346號及348號1－4樓, 04-25262889
李文軒耳鼻喉科診所, 臺中市大里區益民路二段271號, 04-24872898
博幼耳鼻喉科小兒科診所, 臺中市南屯區公益路二段一八一號一、二樓, 04-23270610
蘇德慶診所, 臺中市南屯區同心里東興路2段57號1樓, 04-24717572
林忠立診所, 臺中市南區和平里美村南路58．60號1樓, 04-22619948
陳豪江診所, 臺中市南區復興路2段98號、100號1樓, 04-22622132
德昌小兒科診所, 臺中市烏日區中山路一段335號1樓, 04-23372686
施建成診所, 臺中市烏日區仁德里中山路一段455號, 04-23363590
佳康診所, 臺中市烏日區溪南路一段562號1樓, 04-23353332
建志耳鼻喉科診所, 臺中市太平區中興路110號1樓, 04-22766899
賢德醫院, 臺中市太平區宜昌路420號, 04-22732551
曜廷診所, 臺中市西區中興里向上北路166號, 04-23012428
美麗兒小兒科診所, 臺中市西區向上路1段246號1樓, 04-23010333
康貝兒小兒科診所, 臺中市西區向上路1段553號1樓, 04-24720515
媽媽咪亞診所, 臺中市南屯區公益路二段60號1樓, 04-23190707
周省村診所, 臺中市南屯區東興路二段42號1樓, 04-24723316
郭品君診所, 臺中市南屯區南屯里黎明路一段1059，1061號, 04-23817333
長春診所, 臺中市西區臺灣大道二段501號3樓之1、3樓之2, 04-23286916
聖心診所, 臺中市大里區東榮路350號1樓, 04-24872100
林俊彥小兒科診所, 臺中市南屯區黎明路一段229號1樓, 04-24702058
中山醫學大學附設醫院中興分院, 臺中市南區復興路2段11號, 04-22621652
明陽小兒科診所, 臺中市烏日區中山路一段359號, 04-23361483
宏恩醫院, 臺中市南區和平里復興路二段38－13號, 04-22623123
中山醫學大學附設醫院, 臺中市南區建國北路一段110號, 04-24739595
仁愛醫療財團法人大里仁愛醫院, 臺中市大里區東榮路483號, 04-24819900
李綜合醫療社團法人大甲李綜合醫院, 臺中市大甲區八德街2號, 04-26862288
長安醫院, 臺中市太平區永平路1段9號, 04-36113611
光田醫療社團法人光田綜合醫院, 臺中市沙鹿區沙田路117號, 04-26625111
東山家庭醫學科診所, 臺中市北屯區東山路1段308號1樓, 04-24378500
全信賴診所, 臺中市大甲區甲后路5段267號1樓、2樓, 04-26762248
臺中市大安區衛生所, 臺中市大安區中山南路333號, 04-26713681
悅安診所, 臺中市大里區大里路40號1樓, 04-24838287
廖正雄小兒科診所, 臺中市大里區中興路一段167號1樓, 04-24938497
永蘊豐禾診所, 臺中市大里區中興路二段111－2號1樓、1樓夾層, 04-24830510
台安診所, 臺中市大里區立仁路97號1樓, 04-22754666
王金星診所, 臺中市大里區西榮里中興路2段159－1號, 04-24839981
福生診所, 臺中市大里區東湖里中興路一段227號, 04-24939691
祥全診所, 臺中市大里區金城里中興路一段320號, 04-24922100
李良小兒科診所, 臺中市大里區益民路2段119號, 04-24810998
大嘉診所, 臺中市大里區塗城路521號, 04-24925776
黃名正小兒科診所, 臺中市大雅區大雅里學府路219號, 04-25672053
張內兒科診所, 臺中市大雅區大雅里學府路290號, 04-25663167
長榮耳鼻喉科診所, 臺中市大雅區雅潭路四段822號1樓, 04-25669988
得康診所, 臺中市大雅區學府路227號, 04-25609961
鍾榮輝診所, 臺中市中區建國里建國路222–1號, 04-22235326
幼康小兒科診所, 臺中市太平區中山路3段139號1樓, 04-22738885
黃金賢診所, 臺中市太平區中山路4段32號, 04-23954201
厚生診所, 臺中市太平區中山路一段319號1樓, 04-23933999
仁宏診所, 臺中市太平區太平里太平路587號, 04-22759241
恆欣小兒科診所, 臺中市太平區新平路一段108號1樓, 04-22737419
樹德兒科診所, 臺中市太平區新興路48號1樓, 04-23952035
家宜診所, 臺中市太平區樹孝路506號1樓, 04-23937373
誠光耳鼻喉科診所, 臺中市北屯區北屯路222號1、2樓, 04-22335220
陳弘榮診所, 臺中市北屯區平和里昌平路一段340號, 04-22445527
洪勝雄診所, 臺中市北屯區平和里綏遠路二段261號, 04-22416722
台中市北屯區四民衛生所, 臺中市北屯區后庄路1062號, 04-24211945
林子巡診所, 臺中市北屯區松竹路2段667號1樓, 04-22413636
李彥德耳鼻喉科診所, 臺中市北屯區軍功路1段732號1、2樓, 04-24373125
王鼎堯兒科診所, 臺中市北屯區軍功路一段509－1號1、2樓、511號1樓, 04-24378437
臺中市北屯區軍功衛生所, 臺中市北屯區軍功路二段16號, 04-22393932
張安地小兒科診所, 臺中市北屯區崇德十二路五九八號, 04-24228100
翔霖診所, 臺中市北屯區崇德路二段452號1樓, 04-22410725
鎧緯耳鼻喉科診所, 臺中市北屯區景賢路276號1、2、3樓, 04-24369187
大源診所, 臺中市北屯區興安路一段335號, 04-22415463
輝佑診所, 臺中市北屯區環太東路470號1樓, 04-23935252
陳憲章婦產科診所, 臺中市北區中清路1段 219號1樓, 04-22054022
劉正元診所, 臺中市北區陜西路105號1樓、2樓, 04-22910070
雅得麗生活診所, 臺中市北區健行路870號1樓, 04-22011233
蘇振源內科小兒科診所, 臺中市北區頂厝里崇德路一段575號, 04-22354727
江坤燦小兒科診所, 臺中市北區頂厝里進化北路118巷51．53號1樓, 04-22339598
黃婦產科診所, 臺中市北區遠志里民族路248號, 04-22210801
林健家庭醫學科診所, 臺中市北區錦祥里進化路643號, 04-22323010
光仁診所, 臺中市后里區三豐路4段17號1樓, 04-25562501
甲后莊醫師診所, 臺中市后里區甲后路一段480號1樓, 04-25586608
后里張婦產外科診所, 臺中市后里區甲后路一段531號1樓、2樓, 04-25560555
臺中市后里區衛生所, 臺中市后里區墩西里公安路86號, 04-25562048
陳亮宇耳鼻喉科診所, 臺中市西屯區大墩路995號1樓、2樓, 04-23203888
台宏診所, 臺中市西屯區文華路189號1樓, 04-27028049
幼光診所, 臺中市西屯區玉門路478號1樓, 04-24615033
三和診所, 臺中市西屯區甘肅路1段78號1樓、80號1樓, 04-23157982
翁哲寬小兒科診所, 臺中市西屯區甘肅路一段13號, 04-23141832
廖光毅診所, 臺中市西屯區何德里西屯路二段90－18號, 04-23147317
祥葳兒科診所, 臺中市西屯區青海路二段240之8號1樓, 04-27000132
丞右診所, 臺中市西屯區華美西街二段351號1樓, 04-23160001
蘇家龍診所, 臺中市西屯區黎明路三段421號1、2樓, 04-27085151
杏顏診所, 臺中市西區五權三街57號1樓, 04-23725022
國源診所, 臺中市西區台灣大道2段130號1樓, 04-22037945
徐小兒科診所, 臺中市西區忠誠里華美西街一段206－1號, 04-23134151
艾美診所, 臺中市西區東興路三段156之5號1樓, 04-23290200
高小兒科診所, 臺中市西區美村路1段565號1樓, 04-23724465
醫世紀診所, 臺中市西區美村路一段795號1樓, 04-23720286
朝安診所, 臺中市沙鹿區鎮南路二段50號1樓, 04-26337172
豊府診所, 臺中市東區旱溪東路一段293號1樓, 04-22126228
立仁診所, 臺中市東區建成路775號1樓, 04-22816168
楊外科婦產科診所, 臺中市東區祖聖里進化路96號, 04-22124274
陳國華小兒科診所, 臺中市東區進化路218之1號, 04-23601245
劉內小兒科診所, 臺中市東勢區中寧里豐勢路506號, 04-25877016
建民聯合診所, 臺中市東勢區延平里豐勢路262號, 04-25873995
慶恩內皮膚科診所, 臺中市東勢區東安里豐勢路417號, 04-25879589
湯瑪仕小兒科診所, 臺中市東勢區豐勢路445號1樓, 04-25772366
張益從小兒科診所, 臺中市南屯區大同里南屯路二段121號, 04-24758011
大容診所, 臺中市南屯區大容東街14號1、2樓, 04-23288521
敬康耳鼻喉科診所, 臺中市南屯區大業路229號1樓, 04-23282070
林勝輝診所, 臺中市南屯區大墩17街113號, 04-23272446
沛泳診所, 臺中市南屯區文心南三路667號1、2樓, 04-23807861
汝安診所, 臺中市南屯區水安街3號1、2樓, 04-22513310
小熊小兒科診所, 臺中市南屯區向上南路1段179號1樓, 04-24759999
宏凱診所, 臺中市南屯區忠勇路79之3號1樓, 04-23802778
臺中市愛心家園附設醫務室, 臺中市南屯區東興路1段450號2樓, 04-24713535
誠心兒科診所, 臺中市南屯區東興路二段33號1、2樓, 04-24719001
偉宏診所, 臺中市南屯區南屯里黎明路一段1110號, 04-23827629
汪小兒科診所, 臺中市南屯區黎明路二段15號1樓, 04-23811388
祥威黎明耳鼻喉科兒科診所, 臺中市南屯區黎明路二段446號1樓及夾層, 04-22541898
邦仁內兒科診所, 臺中市南區江川里建成路1691號, 04-22870910
洪金三診所, 臺中市南區和平里復興路二段68號, 04-22618600
南平診所, 臺中市南區南平路167號1樓, 04-22630192
宏美德生診所, 臺中市南區柳川東路一段99號、100號2樓, 04-23718383
永佳診所, 臺中市南區美村路二段156號1、2樓, 04-22655226
張肇烜診所, 臺中市南區高工路395號1樓, 04-22659556
芳世內科小兒科診所, 臺中市南區萬安里國光路71號, 04-22203099
李榮龍內科診所, 臺中市南區臺中路518號, 04-22875252
順馨診所, 臺中市烏日區中山路二段297號1樓, 04-23360115
臺中市神岡區衛生所, 臺中市神岡區神岡里神岡路2號, 04-25622792
紀小兒科內科診所, 臺中市清水區西寧里中興街66號, 04-26228596
林大詠診所, 臺中市潭子區潭子街二段110號1樓, 04-25361915
潭子謝小兒科內科診所, 臺中市潭子區潭秀里中山路二段384號, 04-25339664
林診所, 臺中市龍井區南寮里遊園南路450巷56號, 04-26316743
禾安診所, 臺中市豐原區永康路312號1樓, 04-25231588
豐原吳外婦科診所, 臺中市豐原區南陽里圓環東路391號, 04-25263760
心琳診所, 臺中市豐原區新生北路206號1樓, 04-25226977
敏祥診所, 臺中市豐原區源豐路55號1樓, 04-25225149
汪小兒科診所, 臺中市豐原區豐西里忠孝街105巷41號, 04-25122247
楊啟坤耳鼻喉科診所, 臺中市豐原區豐東路16號1樓, 04-25279800
晨欣親子診所, 臺中市豐原區豐東路83號1樓、2樓, 04-25256525