所屬縣市,醫事機構代碼,醫療院所名稱,醫療院所住址
台中市,3503260118,台中家幼診所,台中市北區進化北路96號1樓
台中市,3517063369,林聖凱婦幼科診所,台中市西屯區福科路702號1至3樓
台中市,3536010771,謝錦松內小兒科診所,台中市豐原區豐西里中正路394號
台中市,3503270034,漢諾威家庭醫學科診所,台中市西屯區何安里青海路一段112號
台中市,3536051745,德吉診所,台中市沙鹿區北勢東路695號1樓
臺中市,1517011112,澄清綜合醫院,臺中市中區平等街139號
台中市,3536031832,力倫診所,台中市大甲區蔣公路２４６號１樓
台中市,3536031734,小朋友小兒科診所,台中市大甲區蔣公路二五五號
台中市,3536031752,小熊的森林診所,台中市大甲區三民路一三二號一、二樓
台中市,1317050017,中國醫藥大學附設醫院,台中市北區育德路２號
台中市,1136200015,仁愛醫療財團法人大里仁愛醫院,台中市大里區東榮路４８３號
台中市,3536012983,文化診所,台中市豐原區圓環東路７２１號１、２樓
台中市,3536192385,方德涵小兒科診所,台中市太平區樹孝路３９－９號１樓
台中市,3517083487,王佑賢小兒科診所,台中市北屯區興安路２段４１９號１樓
台中市,3517081465,王秉菴小兒科診所,台中市北屯區舊社里崇德路二段２９７號
台中市,3517040820,王振偉小兒科診所,台中市南區西川里南屯路１段２７１號
台中市,3517031867,王道文聯合門診王道文小兒科診所,台中市西區忠誠里太原路一段３８號１樓
台中市,2336100015,台中市大雅區衛生所,台中市大雅區中清路二段１８６號
台中市,2317081022,台中市北屯區四民衛生所,台中市北屯區后庄路１０６２號
台中市,2317080016,台中市北屯區軍功衛生所,台中市北屯區軍功路二段１６號
台中市,2336110011,台中市新社區衛生所,台中市新社區新社里興社街４段１號
台中市,2336090014,台中市潭子區衛生所,台中市潭子區中山路２段２４１巷５號
台中市,3517052268,巧比小兒科診所,台中市北區賴興里北平路二段４３號
台中市,3536192376,幼康小兒科診所,台中市太平區中山路３段１３９號１樓
台中市,936050029,光田醫療社團法人光田綜合醫院,台中市沙鹿區沙田路１１７號
台中市,3536071425,后里維恩耳鼻喉科診所,台中市后里區甲后路３１４號１樓
台中市,3517080977,安安診所,台中市北屯區三光里北屯路２９９－４，５號
台中市,3536201334,江宗龍小兒科診所,台中市大里區益民路２段３２３號
台中市,617060018,行政院國軍退除役官兵輔導委員會臺中榮民總醫院,台中市西屯區福安里中港路三段１６０號
台中市,136010010,行政院衛生署豐原醫院,台中市豐原區安康路１００號
台中市,3517022199,佑佑診所,台中市東區十甲路５０１號１樓。
台中市,3517063127,佑兒診所,台中市西屯區大墩路８８７號１樓
台中市,3536091598,何孟哲診所,台中市潭子區甘蔗里勝利路２７３號
台中市,3536011465,吳志修耳鼻喉科診所,台中市豐原區中山路３４５、３４７號１樓
台中市,3517030968,吳東洀小兒科診所,台中市西區美村路一段３６２號一樓
台中市,3517031554,吳榮峰小兒科診所,台中市西區公益路２５２號
台中市,3536031761,宏光診所,台中市大甲區鎮政路６之２號一樓．二樓
台中市,3517083790,李彥德耳鼻喉科診所,台中市北屯區軍功路１段７２６號１樓
台中市,936030018,李綜合醫療社團法人大甲李綜合醫院,台中市大甲區八德街２號
台中市,3517072260,汪小兒科診所,台中市南屯區黎明路一段１１３８號１樓
台中市,3536051530,沙鹿李小兒科診所,台中市沙鹿區沙鹿里沙田路１７２號
台中市,3517054066,秀慧診所,台中市北區忠明路２６８號１樓
台中市,3517031947,阮春閔小兒科診所,台中市西區南屯路１段１４８號１Ｆ
台中市,3536091712,佳佑診所,台中市潭子區勝利路３１９號１樓
台中市,3536190845,佳恩聯合診所,台中市太平區中山路二段３７２號之１
台中市,3517082999,承安耳鼻喉科診所,台中市北屯區北屯路４４１號１樓
台中市,3517081812,林士璁小兒科診所,台中市北屯區大連路２段２３１號１樓
台中市,3536040224,林玉彪診所,台中市清水區南寧里光華路１３５號
台中市,3517041934,林忠立診所,台中市南區和平里美村南路５８．６０號１樓
台中市,3517072279,林俊彥小兒科診所,台中市南屯區黎明路一段２２９號１樓
台中市,3536010342,林政光小兒科診所,台中市豐原區中山里府前街９６號　
台中市,3536101482,林釗尚小兒科診所,"台中市大雅區大雅路１４９,１５１號"
台中市,917070029,林新醫療社團法人林新醫院,台中市南屯區惠中路３段３６號
台中市,3536200917,林漢銀診所,台中市大里區立仁里立新街２２９號
台中市,3536040322,林澤民小兒科診所,台中市清水區中山路２４２–１號
台中市,3517050424,林燄小兒科診所,台中市北區育德里健行路６５９號
台中市,3517081394,芳鄰診所,台中市北屯區東山路一段２４０號一.二樓
台中市,3536010897,長庚黃啟昌診所,台中市豐原區頂街里中正路２８９號
台中市,3536021452,長頸鹿小兒科診所,台中市東勢區豐勢路４１８號
台中市,3536071407,厚生診所,台中市后里區三豐路１０４號
台中市,3517051770,施永泰小兒科診所,台中市北區建興里梅亭街２００號
台中市,3517033843,美麗兒小兒科診所,台中市西區向上路１段２４６號１樓
台中市,3536200284,香光小兒科診所,台中市大里區內新里中興路二段３９２－１號
台中市,3536051683,孫皓雲小兒科診所,台中市沙鹿區中山路１６１號１樓
台中市,3536091749,家興診所,台中市潭子區中山路１段３７號１樓
台中市,3517052080,展弘耳鼻喉科診所,台中市北區賴厝里漢口路四段３２２號１．２樓３２６號２樓
台中市,1136090519,財團法人佛教慈濟綜合醫院台中分院,台中市潭子區豐興路１段６６號
台中市,3536010360,基成內兒科診所,台中市豐原區西勢里中山路３６９號
台中市,3517063083,崇芳小兒科家庭醫學科聯合診所,台中市西屯區福科路４１９號１．２樓
台中市,3517081714,康康診所,台中市北屯區舊社里北屯路４２８–３號
台中市,3517072831,張文吉小兒科診所,台中市南屯區向上南路１段２７３號１樓
台中市,3517070515,張家強診所,台中市南屯區三厝里黎明路二段４９０號一樓
台中市,3517063056,理想家小兒科診所,台中市西屯區福雅路７３號１樓
台中市,3536010959,許躍騰診所,台中市豐原區下街里中正路２２２號　
台中市,3517061098,陳永忠小兒科診所,台中市西屯區西屯路三段１５９–６８號
台中市,3536040279,陳振昆診所,台中市清水區清水里中山路127號
台中市,3517063494,曾曉鐘小兒科診所,台中市西屯區河南路２段４９６號１樓
台中市,3536021489,湯瑪仕小兒科診所,台中市東勢區豐勢路３８８號
台中市,3536041543,順風耳鼻喉科診所,台中市清水區鎮南街４１、４３號１樓
台中市,3536192143,馮少雄小兒科診所,台中市太平區中平路１２１號
台中市,1517050084,新亞東婦產科醫院,台中市北區明德里大雅路２７１號
台中市,3536041589,楊超博診所,台中市清水區中山路１５１－８號１樓
台中市,3517071898,葉晉榮診所,台中市南屯區文山里忠勇路７０–９號
台中市,3517072028,董建宗小兒科診所,台中市南屯區溝墘里大墩路５０８號１樓
台中市,3536100387,廖耳鼻喉科診所,台中市大雅區大雅里民興街２５號
台中市,3517062979,福安耳鼻喉科診所,台中市西屯區西屯路３段１５３之２號
台中市,3517080833,劉昌興小兒科診所,台中市北屯區四民里四平路３５２號
台中市,3517033469,劉俊宏小兒科診所,台中市西區向上路１段４５６號１樓
台中市,1517061032,澄清綜合醫院中港分院,台中市西屯區中港路３段１１８號
台中市,3536202537,蔡政益小兒科診所,台中市大里區新里里益民路２段１６９號
台中市,3536010253,蔣小兒科診所,台中市豐原區富春里中正路２５３號
台中市,3517051225,鄭俊智診所,台中市北區漢口路４段５０號
台中市,3517031018,鄭煒達診所,台中市西區公益路２１４號１樓
台中市,3517070533,親子診所,台中市南屯區南屯里黎明路一段１０９１號
台中市,3536151437,賴永清小兒科診所,台中市烏日區中山路１段５３８號
台中市,3536170398,龍井東海小兒科診所,台中市龍井區新東里新興路９６–２３號
台中市,3517033361,曙光小兒科診所,台中市西區五權西三街８１號１樓
台中市,3536050462,簡祺修小兒科診所,台中市沙鹿區鹿寮里中山路４０４–１號
台中市,3536171475,魏嘉慶家庭醫學科診所,台中市龍井區藝術街１４２巷１號
台中市,3517072304,寶貝熊小兒科診所,台中市南屯區公益路二段３６２．３６６號１樓
台中市,3517081652,蘇游耳鼻喉科診所,台中市北屯區昌平路一段９９–３號
台中市,3536202555,顧耳鼻喉科診所,台中市大里區塗城路５４６號
臺中市,3503290134,小蘋果小兒科診所,臺中市北屯區中清路９９－１號１、２樓；９９－２號１樓
臺中市,3517073436,幼安診所,臺中市南屯區大墩路２６３號１、２樓
臺中市,3503290054,幼恩小兒科診所,臺中市北屯區東山路一段２９８之２號１、２樓
臺中市,3503270276,永群小兒科診所,臺中市西屯區西屯路三段１６６之２９號１樓
臺中市,3503170011,全家診所,臺中市龍井區藝術街１４２巷３號
臺中市,3503270507,安家小兒科診所,臺中市西屯區大福里大鵬路９號１樓
臺中市,3517034368,佳慶診所,臺中市西區東興路三段２７２－１號１樓
臺中市,3503270169,林士惟診所,臺中市西屯區上安路１１７號１樓
臺中市,3517022215,林豊釜小兒科診所,臺中市東區旱溪東路一段２９３號１樓
臺中市,3503250014,祐強診所,臺中市南區工學路１２８號１、２樓
臺中市,1536100081,清泉醫院,臺中市大雅區三和里雅潭路四段８０號
臺中市,3517051967,祥祐診所,臺中市北區三民路三段３４８號
臺中市,3517020775,陳國華小兒科診所,臺中市東區進化路２１８之１號
臺中市,3503270267,喜洋洋小兒科診所,臺中市西屯區河南路二段４２９號１樓
臺中市,936060016,童綜合醫療社團法人童綜合醫院,臺中市梧棲區臺灣大道八段６９９號
臺中市,2317070010,臺中市南屯區衛生所,臺中市南屯區向心南路８１１號１樓
臺中市,3503150019,德昌小兒科診所,臺中市烏日區中山路一段３３５號１樓
臺中市,3503250032,慶燿診所,臺中市南區國光路２４１號１樓
臺中市,3503290027,優安小兒科診所,臺中市北屯區北屯路５３１號１、２樓